,Dalc,Fedu,G1,G2,G3,Medu,Pstatus,Walc,absences,activities,age,failures,famrel,famsize,famsup,freetime,goout,health,higher,internet,location,nursery,paid,romantic,school,schoolsup,sex,study_time,traveltime
0,1,4,5,6,6,4,A,1,6,no,18,0,4,GT3,no,3,4,3,yes,no,Urban,yes,no,no,GP,yes,F,2 to 5 hours,2
1,1,1,5,5,6,1,T,1,4,no,17,0,5,GT3,yes,3,3,3,yes,yes,Urban,no,no,no,GP,no,F,2 to 5 hours,1
2,2,1,7,8,10,1,T,3,10,no,15,3,4,LE3,no,3,2,3,yes,yes,Urban,yes,yes,no,GP,yes,F,2 to 5 hours,1
3,1,2,15,14,15,4,T,1,2,yes,15,0,3,GT3,yes,2,2,5,yes,yes,Urban,yes,yes,yes,GP,no,F,5 to 10 hours,1
4,1,3,6,10,10,3,T,2,4,no,16,0,4,GT3,yes,3,2,5,yes,no,Urban,yes,yes,no,GP,no,F,2 to 5 hours,1
5,1,3,15,15,15,4,T,2,10,yes,16,0,5,LE3,yes,4,2,5,yes,yes,Urban,yes,yes,no,GP,no,M,2 to 5 hours,1
6,1,2,12,12,11,2,T,1,0,no,16,0,4,LE3,no,4,4,3,yes,yes,Urban,yes,no,no,GP,no,M,2 to 5 hours,1
7,1,4,6,5,6,4,A,1,6,no,17,0,4,GT3,yes,1,4,1,yes,no,Urban,yes,no,no,GP,yes,F,2 to 5 hours,2
8,1,2,16,18,19,3,A,1,0,no,15,0,4,LE3,yes,2,2,1,yes,yes,Urban,yes,yes,no,GP,no,M,2 to 5 hours,1
9,1,4,14,15,15,3,T,1,0,yes,15,0,5,GT3,yes,5,1,5,yes,yes,Urban,yes,yes,no,GP,no,M,2 to 5 hours,1
10,1,4,10,8,9,4,T,2,0,no,15,0,3,GT3,yes,3,3,2,yes,yes,Urban,yes,yes,no,GP,no,F,2 to 5 hours,1
11,1,1,10,12,12,2,T,1,4,yes,15,0,5,GT3,yes,2,2,4,yes,yes,Urban,yes,no,no,GP,no,F,5 to 10 hours,
12,1,4,14,14,14,4,T,3,2,yes,15,0,4,LE3,yes,3,3,5,yes,yes,Urban,yes,yes,no,GP,no,M,<2 hours,
13,1,3,10,10,11,4,T,2,2,no,15,0,5,GT3,yes,4,3,3,yes,yes,Urban,yes,yes,no,GP,no,M,2 to 5 hours,2
14,1,2,14,16,16,2,A,1,0,no,15,0,4,GT3,yes,5,2,3,yes,yes,Urban,yes,no,yes,GP,no,M,5 to 10 hours,
